abeceda	abɛt͡sɛda
adam	adam
adama	adama
adamami	adamami
adamoch	adamɔx
adamom	adamɔm
adamov	adamɔu̯
adamovi	adamɔvi
adamovia	adamɔvi̯a
adela	adeɫa
adelka	adɛɫka
adjektívum	adjɛktiːvum
ado	adɔ
adolf	adoɫf
adrián	adriaːn
adriána	adriaːna
afrika	afrika
afrike	afrikɛ
afrikou	afrikɔu̯
afriku	afriku
afriky	afriki
afrikánec	afrikaːɲɛt͡s
agnesa	aɡnɛsa
agáta	aɡaːta
ahoj	aɦɔj
aids	ajt͡s
aids	aːiːdɛːɛs
aids	ɛjt͡s
ak	ak
akcia	akt͡sia
ako	akɔ
akonáhle	akɔnaːɦlɛ
aktivovať	aktivovac
aktualizovaný	aktualizovaniː
aktualizovať	aktualizovac
aktualizácia	aktualizaːt͡sia
aktínium	aktiːnium
akuzatív	akuzatiːu̯
aký	akiː
akýkoľvek	akiːkɔʎvɛk
alah	aɫax
alan	aɫan
alandy	aɫandi
albert	aɫbɛrt
albánsky	aɫbaːnski
albánčina	aɫbaːnt͡ʃina
albín	aɫbiːn
albína	aɫbiːna
alebo	alɛbɔ
alena	alɛna
alexander	alɛksandɛr
alexandra	alɛksandra
alexej	alɛksɛj
aleš	alɛʃ
alfonz	aɫfɔns
alfréd	aɫfrɛːt
alibi	alibi
alica	alit͡sa
aljaška	alʲaʃka
alka	aɫka
alkohol	aɫkɔɦɔɫ
alkoholický	alkɔhɔlit͡skiː
alkoholik	aɫkɔɦɔlik
almanach	almanax
alojz	aɫɔjs
alpy	alpi
altruizmus	aɫtruizmus
alánd	aɫaːnt
alžbeta	aɫʒbɛta
ambróz	ambrɔs
americký	amɛrit͡skiː
američan	amɛrit͡ʃan
američanka	amɛrit͡ʃaŋka
amerícium	amɛriːt͡sium
amnézia	amnɛːzia
amália	amaːlia
anabela	anabɛɫa
anamnéza	anamnɛːza
ananás	ananaːs
anaxagoras	anaksaɡoras
andrea	andrɛa
andrej	andrɛj
andulka	anduɫka
anežka	aɲɛʃka
angela	aŋɡɛɫa
angelika	aŋɡɛlika
anglicko	aŋɡlit͡skɔ
angličtina	aŋɡlit͡ʃcina
angström	aŋɡstrœm
angström	aŋɡstrɛm
ani	aɲi
anjel	aɲi̯ɛɫ
anna	anna
annu	annu
antimón	antimɔːn
antisemita	antisɛmita
anton	antɔn
antónia	antɔːnia
aperitív	apɛritiːw
apríl	apriːɫ
